host_spp,j_day,host_den
mouse,503,40
squirrel,503,8
deer,503,0.25
mouse,504,40
squirrel,504,8
deer,504,0.25
mouse,505,40
squirrel,505,8
deer,505,0.25
mouse,506,40
squirrel,506,8
deer,506,0.25
mouse,507,40
squirrel,507,8
deer,507,0.25
mouse,508,40
squirrel,508,8
deer,508,0.25
mouse,509,40
squirrel,509,8
deer,509,0.25
mouse,510,40
squirrel,510,8
deer,510,0.25
mouse,511,40
squirrel,511,8
deer,511,0.25
mouse,512,40
squirrel,512,8
deer,512,0.25
mouse,513,40
squirrel,513,8
deer,513,0.25
mouse,514,40
squirrel,514,8
deer,514,0.25
mouse,515,40
squirrel,515,8
deer,515,0.25
mouse,516,40
squirrel,516,8
deer,516,0.25
mouse,517,40
squirrel,517,8
deer,517,0.25
mouse,518,40
squirrel,518,8
deer,518,0.25
mouse,519,40
squirrel,519,8
deer,519,0.25
mouse,520,40
squirrel,520,8
deer,520,0.25
mouse,521,40
squirrel,521,8
deer,521,0.25
mouse,522,40
squirrel,522,8
deer,522,0.25
mouse,523,40
squirrel,523,8
deer,523,0.25
mouse,524,40
squirrel,524,8
deer,524,0.25
mouse,525,40
squirrel,525,8
deer,525,0.25
mouse,526,40
squirrel,526,8
deer,526,0.25
mouse,527,40
squirrel,527,8
deer,527,0.25
mouse,528,40
squirrel,528,8
deer,528,0.25
mouse,529,40
squirrel,529,8
deer,529,0.25
mouse,530,40
squirrel,530,8
deer,530,0.25
mouse,531,40
squirrel,531,8
deer,531,0.25
mouse,532,40
squirrel,532,8
deer,532,0.25
mouse,533,40
squirrel,533,8
deer,533,0.25
mouse,534,40
squirrel,534,8
deer,534,0.25
mouse,535,40
squirrel,535,8
deer,535,0.25
mouse,536,40
squirrel,536,8
deer,536,0.25
mouse,537,40
squirrel,537,8
deer,537,0.25
mouse,538,40
squirrel,538,8
deer,538,0.25
mouse,539,40
squirrel,539,8
deer,539,0.25
mouse,540,40
squirrel,540,8
deer,540,0.25
mouse,541,40
squirrel,541,8
deer,541,0.25
mouse,542,40
squirrel,542,8
deer,542,0.25
mouse,543,40
squirrel,543,8
deer,543,0.25
mouse,544,40
squirrel,544,8
deer,544,0.25
mouse,545,40
squirrel,545,8
deer,545,0.25
mouse,546,40
squirrel,546,8
deer,546,0.25
mouse,547,40
squirrel,547,8
deer,547,0.25
mouse,548,40
squirrel,548,8
deer,548,0.25
mouse,549,40
squirrel,549,8
deer,549,0.25
mouse,550,40
squirrel,550,8
deer,550,0.25
mouse,551,40
squirrel,551,8
deer,551,0.25
mouse,552,40
squirrel,552,8
deer,552,0.25
mouse,553,40
squirrel,553,8
deer,553,0.25
mouse,554,40
squirrel,554,8
deer,554,0.25
mouse,555,40
squirrel,555,8
deer,555,0.25
mouse,556,40
squirrel,556,8
deer,556,0.25
mouse,557,40
squirrel,557,8
deer,557,0.25
mouse,558,40
squirrel,558,8
deer,558,0.25
mouse,559,40
squirrel,559,8
deer,559,0.25
mouse,560,40
squirrel,560,8
deer,560,0.25
mouse,561,40
squirrel,561,8
deer,561,0.25
mouse,562,40
squirrel,562,8
